"";"X";"tile";"xrange1";"xrange2";"yrange1";"yrange2";"istruzione";"salute";"trasporti";"qualifica";"servizi"
"110";110;"Tile row 7, col 5";1505674,67644488;1505815,47316136;5038660,46596431;5039193,86107328;0;0;0;1;0
"111";111;"Tile row 7, col 7";1507071,91136871;1507529,4727594;5038660,46596431;5039213,00806144;0;0;0,523809523809524;1;0
"112";112;"Tile row 7, col 8";1507529,4727594;1508147,73819139;5038660,46596431;5039213,00806144;0,666666666666667;0,411764705882353;0,285714285714286;0,666666666666667;0,148325358851675
"113";113;"Tile row 7, col 9";1508147,73819139;1508766,00364193;5038660,46596431;5039213,00806144;0;0;0,380952380952381;1;0
"114";114;"Tile row 7, col 10";1508766,00364193;1509384,26907392;5038660,46596431;5039213,00806144;0;0;0,285714285714286;0,666666666666667;0,0717703349282297
"115";115;"Tile row 7, col 11";1509384,26907392;1510002,53450591;5038660,46596431;5039213,00806144;0,666666666666667;0,411764705882353;0,80952380952381;0,5;0,105263157894737
"116";116;"Tile row 7, col 12";1510002,53450591;1510620,79995645;5038660,46596431;5039213,00806144;0,666666666666667;0;0,238095238095238;0,666666666666667;0,0287081339712919
"117";117;"Tile row 7, col 13";1510620,79995645;1511239,06538844;5038660,46596431;5039213,00806144;0;0;0,428571428571429;0,333333333333333;0,133971291866029
"118";118;"Tile row 7, col 14";1511239,06538844;1511857,33082043;5038660,46596431;5039213,00806144;0,666666666666667;0;0,0761904761904762;0,666666666666667;0,0287081339712919
"119";119;"Tile row 7, col 15";1511857,33082043;1512475,59625243;5038660,46596431;5039213,00806144;0;0;0,0761904761904762;0,666666666666667;0,0334928229665072
"120";120;"Tile row 7, col 16";1512475,59625243;1513093,86168442;5038660,46596431;5039213,00806144;0,666666666666667;0,411764705882353;0,476190476190476;0,666666666666667;0,559808612440191
"121";121;"Tile row 7, col 17";1513093,86168442;1513712,12711641;5038660,46596431;5039213,00806144;1;0,411764705882353;0,285714285714286;1;0,110047846889952
"122";122;"Tile row 7, col 18";1513712,12711641;1514330,3925484;5038660,46596431;5039213,00806144;0,666666666666667;0,411764705882353;0,333333333333333;0,333333333333333;0,339712918660287
"123";123;"Tile row 7, col 19";1514330,3925484;1514948,65799894;5038660,46596431;5039213,00806144;0,666666666666667;0,411764705882353;0,238095238095238;1;0,133971291866029
"124";124;"Tile row 7, col 20";1514948,65799894;1515566,92343093;5038660,46596431;5039213,00806144;0,666666666666667;0,705882352941177;0,380952380952381;1;0,320574162679426
"125";125;"Tile row 7, col 21";1515566,92343093;1516185,18886292;5038660,46596431;5039213,00806144;0,666666666666667;0;0,238095238095238;0,666666666666667;0
